"NsgName","ResourceGroupName","Location","AssociationCount","RuleName","Priority","Direction","Access","Protocol","SourceAddressPrefix","SourcePortRange","DestinationAddressPrefix","DestinationPortRange","Description","IsRiskyMgmtFromInternet","NsgId"
"nsg-demo-app","rg-inventory-demo","japaneast","0","Allow-VNet-Inbound","100","Inbound","Allow","Tcp","VirtualNetwork","*","VirtualNetwork","8080",,"False","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/nsg-demo-app"
"nsg-demo-db","rg-inventory-demo","japaneast","1","Allow-Sql-FromApp","100","Inbound","Allow","Tcp","10.50.2.0/24","*","*","1433",,"False","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/nsg-demo-db"
"nsg-demo-mgmt","rg-inventory-demo","japaneast","1","Allow-SSH-FromVNet","100","Inbound","Allow","Tcp","VirtualNetwork","*","*","22",,"False","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/nsg-demo-mgmt"
"nsg-demo-shared","rg-inventory-demo","japaneast","0","Deny-All-Inbound","4096","Inbound","Deny","*","*","*","*","*",,"False","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/nsg-demo-shared"
"nsg-demo-web","rg-inventory-demo","japaneast","0","Allow-HTTPS-Inbound","100","Inbound","Allow","Tcp","Internet","*","*","443",,"False","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-inventory-demo/providers/Microsoft.Network/networkSecurityGroups/nsg-demo-web"
"nsg-nwri-candidate-jpe","rg-nwri-jpe-20260709","japaneast","1","DenyHttp80","100","Inbound","Deny","TCP","*","*","*","80",,"False","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkSecurityGroups/nsg-nwri-candidate-jpe"
"nsg-nwri-candidate-jpe","rg-nwri-jpe-20260709","japaneast","1","DenySsh22","110","Inbound","Deny","TCP","*","*","*","22",,"False","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkSecurityGroups/nsg-nwri-candidate-jpe"
"nsg-nwri-candidate-jpe","rg-nwri-jpe-20260709","japaneast","1","DenyRdp3389","120","Inbound","Deny","TCP","*","*","*","3389",,"False","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkSecurityGroups/nsg-nwri-candidate-jpe"
"nsg-nwri-candidate-jpe","rg-nwri-jpe-20260709","japaneast","1","AllowCostom8080","130","Inbound","Allow","*","*","*","*","8080",,"False","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkSecurityGroups/nsg-nwri-candidate-jpe"
"nsg-nwri-workload-jpe","rg-nwri-jpe-20260709","japaneast","0","AllowVnetInbound","100","Inbound","Allow","*","VirtualNetwork","*","VirtualNetwork","*","Allows private VNet-to-VNet traffic for Rule Impact Analyzer demo flows.","False","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkSecurityGroups/nsg-nwri-workload-jpe"
"nsg-nwri-workload-jpe","rg-nwri-jpe-20260709","japaneast","0","DenyInternetInbound","200","Inbound","Deny","*","Internet","*","*","*","Explicitly denies inbound internet traffic for the demo subnet.","False","/subscriptions/1acecba7-23bd-4d4d-9770-0b11998514dc/resourceGroups/rg-nwri-jpe-20260709/providers/Microsoft.Network/networkSecurityGroups/nsg-nwri-workload-jpe"
